PumpTime,StageNumber,FluidDescription,StageDescription,ProppantType,CleanVolume,SlurryVolume,TreatingPressure,CleanRate,SlurryRate,SlurryProppantConcentration,BHProppantConc,BacksidePressure,HydrostaticPressure,TreatmentCleanVolume,ProppantVolume,TreatmentProppantVolume,TreatmentSlurryVolume,TRANSCEND-350W_conc,TRANSCEND-350W_rate,TRANSCEND-350W_totalvol,OPTIKLEEN-WF_conc,OPTIKLEEN-WF_rate,OPTIKLEEN-WF_totalvol,KEMFLOW A-4387_conc,KEMFLOW A-4387_rate,KEMFLOW A-4387_totalvol,MC B-8614_conc,MC B-8614_rate,MC B-8614_totalvol
2021-07-01 10:30:45,1,FR Water,Pad,,0,0,1650.6,0,0,0,0,121.763401,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:46,1,FR Water,Pad,,0,0,1648.31,0,0,0,0,121.807115,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:47,1,FR Water,Pad,,0,0,1645.43,0,0,0,0,121.853109,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:48,1,FR Water,Pad,,0,0,1642.03,0,0,0,0,121.875353,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:49,1,FR Water,Pad,,0,0,1660.63,0,0,0,0,121.877903,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:50,1,FR Water,Pad,,0,0,1910.99,0,0,0,0,121.877875,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:51,1,FR Water,Pad,,0,0,2049.12,0,0,0,0,121.877536,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:52,1,FR Water,Pad,,0,0,2088.99,0,0,0,0,121.972629,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:53,1,FR Water,Pad,,0,0,2094.3,0,0,0,0,122.133355,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:54,1,FR Water,Pad,,0,0,2099.2,0,0,0,0,122.210246,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:55,1,FR Water,Pad,,0,0,2103.82,0,0,0,0,122.18419,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:56,1,FR Water,Pad,,0,0,2108.12,0,0,0,0,122.145426,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:57,1,FR Water,Pad,,0,0,2112.26,0,0,0,0,122.199788,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:58,1,FR Water,Pad,,0,0,2116.19,0,0,0,0,122.247816,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:59,1,FR Water,Pad,,0,0,2121.09,0,0,0,0,122.312826,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:31:00,1,FR Water,Pad,,0,0,2124.51,0,0,0,0,122.369466,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:31:01,1,FR Water,Pad,,0,0,2127.77,0,0,0,0,122.32567,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:31:02,1,FR Water,Pad,,0,0,2130.85,0,0,0,0,122.269002,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:31:03,1,FR Water,Pad,,0,0,2133.73,0,0,0,0,122.240017,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:31:04,1,FR Water,Pad,,0,0,2136.41,0,0,0,0,122.173055,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:31:05,1,FR Water,Pad,,0,0,2138.98,0,0,0,0,122.176283,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:31:06,1,FR Water,Pad,,0,0,2141.41,0,0,0,0,122.143053,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:31:07,1,FR Water,Pad,,0,0,2143.69,0,0,0,0,122.171631,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:31:08,1,FR Water,Pad,,0,0,2145.79,0,0,0,0,122.210571,3387.913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
